t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1519831170,30,551.140492,222.718552,16.100051,175.312440,219.374507,427.294519,446.471078,551.140492,551.140492,551.140492,1.743592,3.533052,3.901375,3.966820,calls/second,milliseconds
1519831171,20,1226.114937,205.004958,11.347527,298.382823,213.350697,222.019239,803.067251,1226.114937,1226.114937,1226.114937,3.206309,2.800000,2.800000,2.800000,calls/second,milliseconds
1519831171,20,1226.114937,205.004958,11.347527,298.382823,213.350697,222.019239,803.067251,1226.114937,1226.114937,1226.114937,3.089663,2.800000,2.800000,2.800000,calls/second,milliseconds
1519831171,30,551.140492,222.718552,16.100051,175.312440,219.374507,427.294519,446.471078,551.140492,551.140492,551.140492,1.665041,3.533052,3.901375,3.966820,calls/second,milliseconds
1519831171,30,551.140492,222.718552,16.100051,175.312440,219.374507,427.294519,446.471078,551.140492,551.140492,551.140492,1.647163,3.533052,3.901375,3.966820,calls/second,milliseconds
1519831210,23,501.597896,169.558869,11.797030,152.500573,218.440948,241.108660,445.937443,501.597896,501.597896,501.597896,4.138686,4.000000,4.000000,4.000000,calls/second,milliseconds
1519831210,23,501.597896,169.558869,11.797030,152.500573,218.440948,241.108660,445.937443,501.597896,501.597896,501.597896,3.973900,4.000000,4.000000,4.000000,calls/second,milliseconds
1519831211,25,501.597896,175.624658,11.797030,161.449303,218.440948,241.108660,472.349003,501.597896,501.597896,501.597896,3.809276,4.000000,4.000000,4.000000,calls/second,milliseconds
1519831211,25,501.597896,175.624658,11.797030,161.449303,218.440948,241.108660,472.349003,501.597896,501.597896,501.597896,3.681927,4.000000,4.000000,4.000000,calls/second,milliseconds
1519831212,26,501.597896,169.200938,11.797030,161.148493,218.440948,241.108660,472.349003,501.597896,501.597896,501.597896,3.440601,4.000000,4.000000,4.000000,calls/second,milliseconds
1519831212,26,501.597896,169.200938,11.797030,161.148493,218.440948,241.108660,472.349003,501.597896,501.597896,501.597896,3.337596,4.000000,4.000000,4.000000,calls/second,milliseconds
1519831213,28,501.597896,157.683383,11.797030,160.010803,19.004689,235.849544,472.349003,501.597896,501.597896,501.597896,3.271546,4.000000,4.000000,4.000000,calls/second,milliseconds
1519831213,28,501.597896,157.683383,11.797030,160.010803,19.004689,235.849544,472.349003,501.597896,501.597896,501.597896,3.185190,4.000000,4.000000,4.000000,calls/second,milliseconds
1519831214,29,501.597896,152.409216,11.797030,159.246210,19.004689,235.849544,472.349003,501.597896,501.597896,501.597896,3.034558,4.000000,4.000000,4.000000,calls/second,milliseconds
