t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1520343095,0,0.000000,0.000000,0.000000,0.000000,events/second
1520343096,0,0.000000,0.000000,0.000000,0.000000,events/second
1520343579,0,0.000000,0.000000,0.000000,0.000000,events/second
1520343753,0,0.000000,0.000000,0.000000,0.000000,events/second
1520343754,0,0.000000,0.000000,0.000000,0.000000,events/second
1520343849,0,0.000000,0.000000,0.000000,0.000000,events/second
1520343850,0,0.000000,0.000000,0.000000,0.000000,events/second
1520344342,0,0.000000,0.000000,0.000000,0.000000,events/second
1520344343,0,0.000000,0.000000,0.000000,0.000000,events/second
1520344344,0,0.000000,0.000000,0.000000,0.000000,events/second
1520344345,0,0.000000,0.000000,0.000000,0.000000,events/second
1520344346,0,0.000000,0.000000,0.000000,0.000000,events/second
1520344347,0,0.000000,0.000000,0.000000,0.000000,events/second
1520344412,0,0.000000,0.000000,0.000000,0.000000,events/second
1520344413,0,0.000000,0.000000,0.000000,0.000000,events/second
1520344414,0,0.000000,0.000000,0.000000,0.000000,events/second
1520344415,0,0.000000,0.000000,0.000000,0.000000,events/second
1520344416,0,0.000000,0.000000,0.000000,0.000000,events/second
1520344417,0,0.000000,0.000000,0.000000,0.000000,events/second
1520344418,0,0.000000,0.000000,0.000000,0.000000,events/second
1520344533,0,0.000000,0.000000,0.000000,0.000000,events/second
1520344534,0,0.000000,0.000000,0.000000,0.000000,events/second
1520344535,0,0.000000,0.000000,0.000000,0.000000,events/second
1520344536,0,0.000000,0.000000,0.000000,0.000000,events/second
1520344537,0,0.000000,0.000000,0.000000,0.000000,events/second
1520344538,0,0.000000,0.000000,0.000000,0.000000,events/second
1520344672,0,0.000000,0.000000,0.000000,0.000000,events/second
1520344729,0,0.000000,0.000000,0.000000,0.000000,events/second
